gene_id	gene_name	gene_type	logFC	logCPM	LR	PValue	FDR	is_diff
ENSG00000198018	ENTPD7	protein_coding	-0.928531381796915	5.32498283730511	208.647690558349	2.70960404374768e-47	6.01014085174209e-45	down
ENSG00000182287	AP1S2	protein_coding	0.752101592214639	6.31327885003729	207.90293139406	3.9391038499303e-47	8.61065266210126e-45	up
ENSG00000245532	NEAT1	lncRNA	-0.485248612593372	8.44101694742248	207.861279471397	4.02239883455129e-47	8.66712023164816e-45	down
ENSG00000185499	MUC1	protein_coding	-1.40443142394216	4.05561973099782	206.094347412234	9.77250305207106e-47	2.07603751456884e-44	down
ENSG00000127951	FGL2	protein_coding	0.609779569568053	6.89948083765051	204.872706035435	1.80534657863815e-46	3.78195033966657e-44	up
ENSG00000242550	SERPINB10	protein_coding	-0.840591997638915	5.59728559736624	204.78522220545	1.88646746867325e-46	3.89775189452036e-44	down
ENSG00000182162	P2RY8	protein_coding	-0.661707017923433	6.60266085542138	204.036794828371	2.74761403122317e-46	5.60030573418097e-44	down
ENSG00000120708	TGFBI	protein_coding	0.539851129890272	8.00173417637209	203.672493485271	3.29949212512819e-46	6.63549862977447e-44	up
ENSG00000101439	CST3	protein_coding	0.535858467177032	7.85090483440341	203.508385890343	3.58307553961231e-46	7.11099057420691e-44	up
ENSG00000086548	CEACAM6	protein_coding	-1.67856058881938	3.48687767011625	202.870811169557	4.93603670217098e-46	9.66886254270713e-44	down
ENSG00000196154	S100A4	protein_coding	0.482690551660041	8.49521067682346	202.178599368149	6.98916509640895e-46	1.3515073993479e-43	up
ENSG00000186350	RXRA	protein_coding	0.645908041696603	6.53070626875413	194.941885149412	2.65274211350069e-44	5.06472269594062e-42	up
ENSG00000116701	NCF2	protein_coding	0.621051738987262	6.72057069460461	192.304707087023	9.98340764307394e-44	1.88224671850605e-41	up
ENSG00000171236	LRG1	protein_coding	-1.06545617914339	4.80506081149055	191.253783184215	1.69301915842914e-43	3.15256888476379e-41	down
ENSG00000163823	CCR1	protein_coding	0.744746282140444	5.78823443166394	190.070581956845	3.06848879032705e-43	5.64414834445158e-41	up
ENSG00000178209	PLEC	protein_coding	0.569301792869521	7.68081006655953	189.657566636018	3.77639308711213e-43	6.86257071480871e-41	up
ENSG00000182885	ADGRG3	protein_coding	-1.6218025242253	3.47080045281201	189.489276733935	4.10971464329547e-43	7.37938404343161e-41	down
ENSG00000255587	RAB44	protein_coding	-0.663201308321951	6.42988454064346	189.372114131941	4.35899255126448e-43	7.73490407655555e-41	down
ENSG00000112576	CCND3	protein_coding	0.575175182968201	7.00751568771186	188.811614940332	5.77742086678747e-43	1.01326556899716e-40	up
ENSG00000132965	ALOX5AP	protein_coding	0.583014984802808	7.0501560866732	187.233533621239	1.277066922482e-42	2.21402303353978e-40	up
ENSG00000101425	BPI	protein_coding	-1.99667323977265	3.06382765258438	184.40632053606	5.28937614080297e-42	9.06587049224219e-40	down
ENSG00000224940	PRRT4	protein_coding	-2.0001250732162	2.94712695249886	182.425040108302	1.43203884506739e-41	2.42690358428668e-39	down
ENSG00000129038	LOXL1	protein_coding	-2.38347542309065	2.70774412184268	180.764845053612	3.2993282586192e-41	5.52930756941704e-39	down
ENSG00000131401	NAPSB	pseudogene	0.991899956881458	4.65965707324547	180.736409008546	3.34683367097229e-41	5.5472848636566e-39	up
ENSG00000121691	CAT	protein_coding	-0.448471515938706	8.88772031323662	179.686796543901	5.6729069466112e-41	9.30048429084095e-39	down
ENSG00000185201	IFITM2	protein_coding	-0.763824341923607	5.68321948868167	179.589235708056	5.95809440511968e-41	9.66300407660431e-39	down
ENSG00000204839	MROH6	protein_coding	-1.19355357120967	4.26007112007657	177.577774742871	1.63798443317058e-40	2.62826800058637e-38	down
ENSG00000105639	JAK3	protein_coding	-0.592280198998943	6.74995603024731	169.034104910023	1.20262727139128e-38	1.90939232993628e-36	down
ENSG00000135549	PKIB	protein_coding	1.09574614521504	4.14865720565993	167.476459265358	2.63242841733517e-38	4.13592893944441e-36	up
ENSG00000113296	THBS4	protein_coding	-1.07699994827351	4.43954891879893	166.26970280997	4.83005915537075e-38	7.51049301448011e-36	down
ENSG00000004399	PLXND1	protein_coding	-0.478407274148542	7.78648470605639	165.964982433626	5.6300896371917e-38	8.66516755079208e-36	down
ENSG00000082074	FYB1	protein_coding	-0.716079989047027	5.76421139085361	164.46052443285	1.19993678164289e-37	1.82814610884038e-35	down
ENSG00000133048	CHI3L1	protein_coding	-0.744845466959315	5.82850864717325	164.206635090881	1.36339361757712e-37	2.05640659339158e-35	down
ENSG00000136161	RCBTB2	protein_coding	0.716059647415578	5.6927740168519	163.831942254406	1.64617105393359e-37	2.45833643628519e-35	up
ENSG00000107566	ERLIN1	protein_coding	-0.516469990482936	7.27531234726619	163.283738438666	2.16887783178953e-37	3.20717493498838e-35	down
ENSG00000119535	CSF3R	protein_coding	-0.473153709243374	7.75283018984418	159.058791739758	1.81674797535739e-36	2.66038929245782e-34	down
ENSG00000169429	CXCL8	protein_coding	0.578461052541627	6.58718223380828	158.695129527086	2.18149339703286e-36	3.1637947026391e-34	up
ENSG00000197081	IGF2R	protein_coding	0.566857696129895	6.62146447519434	154.794322698663	1.55289026212275e-35	2.23068988796165e-33	up
ENSG00000170891	CYTL1	protein_coding	-0.766914328360332	5.39345652753343	154.408428647993	1.8856965749082e-35	2.68320390937174e-33	down
ENSG00000260401	AP002761.4	lncRNA	-0.838565054867455	5.05598027785562	153.488843791578	2.99528321223813e-35	4.22222959721381e-33	down
ENSG00000160593	JAML	protein_coding	0.450711287389804	7.75064393698937	152.953770188599	3.92081519932001e-35	5.4757088566059e-33	up
ENSG00000106546	AHR	protein_coding	0.626483759864359	6.0720424792734	152.803691416806	4.22839969500483e-35	5.85109656878512e-33	up
ENSG00000197506	SLC28A3	protein_coding	-1.23782694505912	3.8192771641764	151.019434611936	1.0378640123403e-34	1.42310026346625e-32	down
ENSG00000108798	ABI3	protein_coding	0.68703033782324	5.80880084129254	149.788760176159	1.92811059066326e-34	2.61997225576341e-32	up
ENSG00000136315	AL355922.1	lncRNA	-1.00445386167118	4.57082349804976	149.122164394666	2.69672922349421e-34	3.63167561410386e-32	down
ENSG00000104055	TGM5	protein_coding	1.08143412692099	4.00774623917029	148.427592604251	3.82527159072014e-34	5.10589127458689e-32	up
ENSG00000182718	ANXA2	protein_coding	0.424415648267197	8.45541360850476	148.24556257733	4.19230225161008e-34	5.54671007552938e-32	up
ENSG00000085117	CD82	protein_coding	-0.524474390264001	6.81099621046519	144.748671191068	2.43729439103341e-33	3.19667054782235e-31	down
ENSG00000177575	CD163	protein_coding	0.581499529509482	6.49926843693056	144.155297517381	3.28577250708865e-33	4.27235402796708e-31	up
ENSG00000172893	DHCR7	protein_coding	-0.620154349706005	6.27553911415627	144.077207931903	3.41751565014771e-33	4.40567423514341e-31	down
ENSG00000114446	IFT57	protein_coding	-0.827274749543128	4.9761539539056	142.382604957216	8.020904828021e-33	1.02524836882238e-30	down
ENSG00000205542	TMSB4X	protein_coding	0.363530925460521	11.6396981569066	142.107558174453	9.21219634306348e-33	1.16762653312963e-30	up
ENSG00000104518	GSDMD	protein_coding	-0.555356914582476	6.66271092180457	141.975365330236	9.84618151836901e-33	1.23758296534633e-30	down
ENSG00000139626	ITGB7	protein_coding	0.846898843229818	4.90266190007187	141.811013879115	1.06955812727913e-32	1.33323514328522e-30	up
ENSG00000172322	CLEC12A	protein_coding	-0.700315058726535	5.5906785831732	141.780283828439	1.08623491096433e-32	1.34292468541599e-30	down
ENSG00000120694	HSPH1	protein_coding	0.44232134939219	7.65615200916417	141.527945127305	1.23338866079776e-32	1.51245537974086e-30	up
ENSG00000149269	PAK1	protein_coding	0.51108711317019	6.7860548102678	138.784804321471	4.90859222584464e-32	5.97066907600119e-30	up
ENSG00000140287	HDC	protein_coding	-0.476642957531062	7.50089966340924	138.661457324618	5.22314166869517e-32	6.30245166311434e-30	down
ENSG00000137752	CASP1	protein_coding	0.60637098498673	6.1564857460408	138.085906362134	6.97913670515417e-32	8.35446975586034e-30	up
ENSG00000137642	SORL1	protein_coding	-0.480753231445406	7.11008576691625	137.817119931233	7.99070516756034e-32	9.49006346789863e-30	down
ENSG00000003402	CFLAR	protein_coding	-0.474858851496601	7.17061193180881	136.606601856916	1.47005827014548e-31	1.73225694442221e-29	down
ENSG00000107331	ABCA2	protein_coding	-0.449897941460062	7.42490795394509	136.092139252225	1.90483081783486e-31	2.2271754438297e-29	down
ENSG00000007062	PROM1	protein_coding	-0.6405736383062	5.84827428190044	135.923432630101	2.07374865446606e-31	2.40602699656243e-29	down
ENSG00000161944	ASGR2	protein_coding	0.580181445820636	6.4224344022616	135.638698393739	2.39350455482475e-31	2.75581902293296e-29	up
ENSG00000102879	CORO1A	protein_coding	0.381075377088781	9.60368688440938	135.529091948026	2.52934481693465e-31	2.89015968741101e-29	up
ENSG00000103978	TMEM87A	protein_coding	-0.626221119510433	6.00058861325399	134.825120606202	3.60568833644516e-31	4.08906745703777e-29	down
ENSG00000165802	NSMF	protein_coding	0.554758597051907	6.64974605132327	134.437742993565	4.38250088566092e-31	4.93292991480774e-29	up
ENSG00000142405	NLRP12	protein_coding	0.998364092363517	4.02926931796866	132.028816423681	1.47463035137674e-30	1.6475444140604e-28	up
ENSG00000123405	NFE2	protein_coding	-0.472761337939744	7.16536585429716	130.720306815628	2.85071312911988e-30	3.16156662694965e-28	down
ENSG00000021762	OSBPL5	protein_coding	-0.861525721753396	4.85285545132138	130.190577220144	3.72264447490018e-30	4.09844135875324e-28	down
ENSG00000136997	MYC	protein_coding	-0.373286441120043	8.69348985176092	128.633713750924	8.15630849253184e-30	8.91460876759838e-28	down
ENSG00000159496	RGL4	protein_coding	-1.08926231320054	3.92415968162738	127.933312618451	1.1607844892931e-29	1.25957643539624e-27	down
ENSG00000170458	CD14	protein_coding	0.462383627170171	7.04715560988276	127.46372226531	1.47064661264863e-29	1.58249966397602e-27	up
ENSG00000111540	RAB5B	protein_coding	-0.49652845611668	6.74489842992274	127.451992897	1.47936387071948e-29	1.58249966397602e-27	down
ENSG00000143771	CNIH4	protein_coding	-0.598616027885782	6.0787618379008	126.489022764831	2.40327371528011e-29	2.55271672165985e-27	down
ENSG00000044574	HSPA5	protein_coding	-0.34441802407999	10.1257417058393	126.356677278624	2.56900856500643e-29	2.70967525776168e-27	down
ENSG00000138829	FBN2	protein_coding	-0.607616528038946	5.9126223594568	125.869238955076	3.28426296702453e-29	3.44003738414104e-27	down
ENSG00000163993	S100P	protein_coding	-1.97349535062879	2.50569805629967	125.466739234074	4.02276323335657e-29	4.18450605853222e-27	down
ENSG00000153283	CD96	protein_coding	-0.93011514050771	4.43979031372199	125.074838150997	4.90110046770456e-29	5.06323961331424e-27	down
ENSG00000178726	THBD	protein_coding	0.861609516105083	4.49387148637904	124.954964388931	5.2062962158941e-29	5.34194325335583e-27	up
ENSG00000103811	CTSH	protein_coding	0.558523729168817	6.22386676191816	122.26196505731	2.02285004627004e-28	2.0615302194521e-26	up
ENSG00000092067	CEBPE	protein_coding	-1.37882558239191	3.25083960876777	122.163059268545	2.12624732324263e-28	2.15236163600461e-26	down
ENSG00000174099	MSRB3	protein_coding	-0.6763570237726	5.80766659824584	120.87099265924	4.07807170806386e-28	4.10063703818181e-26	down
ENSG00000185950	IRS2	protein_coding	-0.916497074133017	4.42724813002738	120.729777463928	4.37894160566051e-28	4.37401167140248e-26	down
ENSG00000106789	CORO2A	protein_coding	-0.937504715856154	4.48793441222299	119.773128734799	7.09255452874412e-28	7.03796052348998e-26	down
ENSG00000100219	XBP1	protein_coding	-0.377364867617872	8.17083277189235	118.95201461092	1.07293918049383e-27	1.05772167708422e-25	down
ENSG00000136826	KLF4	protein_coding	0.678264928636118	5.28230909679583	118.024298255341	1.71276895223342e-27	1.67751260432057e-25	up
ENSG00000276644	DACH1	protein_coding	-1.15017980642563	3.71032401806402	116.818902116136	3.1451396551471e-27	3.06052525281185e-25	down
ENSG00000158473	CD1D	protein_coding	0.958901607618394	4.0932142962608	114.968987203715	7.99378880547038e-27	7.72886644569934e-25	up
ENSG00000023330	ALAS1	protein_coding	-0.455741131886714	6.9020404635873	114.561164305573	9.81904011152064e-27	9.43315808930356e-25	down
ENSG00000211899	IGHM	protein_coding	-0.776823227111483	4.86714138148838	114.21081657748	1.17165571920168e-26	1.11848627928601e-24	down
ENSG00000175591	P2RY2	protein_coding	-0.712194275924263	5.17323706361041	113.946471827633	1.33874070602418e-26	1.269951325092e-24	down
ENSG00000120306	CYSTM1	protein_coding	-1.05860689257869	3.82565562777869	113.336699735251	1.82075830018837e-26	1.71640609010882e-24	down
ENSG00000175489	LRRC25	protein_coding	0.785297786476634	4.59520072572476	112.596938302157	2.64415746257252e-26	2.47713211229698e-24	up
ENSG00000108932	SLC16A6	protein_coding	0.865417699619594	4.26125394251514	112.226105531221	3.18798859733362e-26	2.96817481565327e-24	up
ENSG00000103187	COTL1	protein_coding	0.353998835940552	8.65786141335416	112.014084734568	3.54780793862867e-26	3.28291945633964e-24	up
ENSG00000114268	PFKFB4	protein_coding	-0.79478143212773	4.79729081469239	111.689796997719	4.17827548079748e-26	3.84273957785783e-24	down
ENSG00000153310	FAM49B	protein_coding	0.409260295682466	7.45354967670789	111.56466768525	4.45048959759096e-26	4.06828694548269e-24	up
ENSG00000115271	GCA	protein_coding	-0.558995707889034	6.13338051520797	110.656728517946	7.03571289830014e-26	6.36526774262041e-24	down
ENSG00000072110	ACTN1	protein_coding	-0.381387815080966	7.76012339483072	110.653362981758	7.04766765907054e-26	6.36526774262041e-24	down
ENSG00000142089	IFITM3	protein_coding	-0.786502404533298	5.05690919754389	109.863876831536	1.0495617626131e-25	9.4229405151746e-24	down
ENSG00000152760	TCTEX1D1	protein_coding	-0.830167968929544	4.64075860683451	109.807714507217	1.07972359581589e-25	9.63637337023141e-24	down
ENSG00000127124	HIVEP3	protein_coding	0.867495663367063	4.26829015718458	109.558144751419	1.22459207207201e-25	1.08650130723895e-23	up
ENSG00000167613	LAIR1	protein_coding	-0.393026361367004	7.70722354822709	109.470910047318	1.27968820093026e-25	1.12874486167434e-23	down
ENSG00000146112	PPP1R18	protein_coding	0.438608607332682	6.99562630810092	108.999223207178	1.62349476773942e-25	1.42367276638451e-23	up
ENSG00000198879	SFMBT2	protein_coding	0.586592624953628	5.85982396708375	107.331299923959	3.7663884053643e-25	3.2837246426653e-23	up
ENSG00000198829	SUCNR1	protein_coding	-0.568290907969938	5.97408862975152	106.240234886905	6.53169380292481e-25	5.66192744997212e-23	down
ENSG00000233276	GPX1	protein_coding	0.364082652138694	9.73350431770053	105.968163072392	7.49293968514985e-25	6.45805767263515e-23	up
ENSG00000163710	PCOLCE2	protein_coding	-3.08103541639039	1.58552760774502	105.887741004404	7.80328651153406e-25	6.68732786667433e-23	down
ENSG00000168405	CMAHP	pseudogene	-0.674441175918956	5.17701504079141	105.639801242529	8.8433505709143e-25	7.53583370966669e-23	down
ENSG00000104043	ATP8B4	protein_coding	-0.40121577064921	7.3315952713061	104.896914274519	1.28658151442342e-24	1.09019713382295e-22	down
ENSG00000135905	DOCK10	protein_coding	0.44964013353541	6.91889283515613	104.56905462488	1.51809339130083e-24	1.27918450396595e-22	up
ENSG00000186205	1-Mar	protein_coding	-0.706036808113359	5.00584416958236	104.527757309329	1.55006637332967e-24	1.29886950605175e-22	down
ENSG00000188559	RALGAPA2	protein_coding	-0.455108314751652	6.67234774265248	103.742772170317	2.303639501037e-24	1.91965715989729e-22	down
ENSG00000072274	TFRC	protein_coding	-0.335956210936367	9.28388348880231	102.989130456352	3.36992096366592e-24	2.79277570851501e-22	down
ENSG00000143870	PDIA6	protein_coding	-0.346193462978956	8.40053119866833	102.293864063538	4.78672459100092e-24	3.94525502765393e-22	down
ENSG00000110880	CORO1C	protein_coding	0.349491450491419	8.09711621852083	102.252406019997	4.8879563811218e-24	4.00679598350327e-22	up
ENSG00000140848	CPNE2	protein_coding	-0.698641907608673	4.9840803001607	101.663813281795	6.57913376945105e-24	5.36394998079082e-22	down
ENSG00000115457	IGFBP2	protein_coding	-0.669138373487526	5.06660390980871	101.044998625836	8.99173380363401e-24	7.29152263226945e-22	down
ENSG00000163694	RBM47	protein_coding	0.625619989498174	5.51682408184594	100.453439521805	1.21213149325774e-23	9.77678038117992e-22	up
ENSG00000184164	CRELD2	protein_coding	-0.507425398446716	6.1863751000598	100.109604825852	1.44192564008518e-23	1.15683853347897e-21	down
ENSG00000139572	GPR84	protein_coding	1.17350455496537	3.27435437896682	99.8215425526949	1.66766414771699e-23	1.33086657883679e-21	up
ENSG00000164733	CTSB	protein_coding	0.323470045717863	9.24299043731916	99.6764900809842	1.79438682056611e-23	1.42445981129466e-21	up
ENSG00000198053	SIRPA	protein_coding	0.380648548315502	7.41238689846057	99.5207814610433	1.94115738989829e-23	1.5329045503579e-21	up
ENSG00000142192	APP	protein_coding	-0.351986593369086	8.36840690967288	99.1848936700267	2.29994735036e-23	1.80677634820207e-21	down
ENSG00000198604	BAZ1A	protein_coding	-0.386930308092366	7.6594481153577	98.9754437794238	2.55652219307961e-23	1.9979287170062e-21	down
ENSG00000099864	PALM	protein_coding	-1.01767329291468	3.7443555834607	98.7073408486499	2.92715031638366e-23	2.27578392896983e-21	down
ENSG00000135074	ADAM19	protein_coding	0.929707867801066	3.78878607867451	98.0052101663085	4.17283181194543e-23	3.22763190869604e-21	up
ENSG00000129450	SIGLEC9	protein_coding	0.792936744300418	4.32529549507687	97.9387969279402	4.31515767782862e-23	3.32068996197393e-21	up
ENSG00000184060	ADAP2	protein_coding	0.917650305501386	3.77711512761565	97.0562509003299	6.73854811847471e-23	5.15926503913472e-21	up
ENSG00000170525	PFKFB3	protein_coding	-0.468242137517997	6.42993703139426	96.7223485451359	7.9763819577147e-23	6.07614995293994e-21	down
ENSG00000077782	FGFR1	protein_coding	-0.817238800136936	4.45416866687815	96.5124275676037	8.8685415325219e-23	6.72181969522753e-21	down
ENSG00000158477	CD1A	protein_coding	0.837409291824572	4.30887251491784	96.4664262106254	9.0770087597523e-23	6.82621980782356e-21	up
ENSG00000188906	LRRK2	protein_coding	0.837064752763891	4.14897671727199	96.4621142719747	9.09679892178303e-23	6.82621980782356e-21	up
ENSG00000099250	NRP1	protein_coding	0.593036030719466	5.37672368389751	95.9515785080145	1.17727943159829e-22	8.79054735980051e-21	up
ENSG00000139679	LPAR6	protein_coding	0.646231409907122	5.01098559678315	95.8741584736445	1.22422968177231e-22	9.09608684244914e-21	up
ENSG00000146094	DOK3	protein_coding	-0.448229395268561	6.79877360670769	95.2383753112956	1.68786414926526e-22	1.24794387075333e-20	down
ENSG00000148175	STOM	protein_coding	-0.423899687506419	6.87876755425954	95.1223690102585	1.78972913204052e-22	1.31680412188132e-20	down
